Borough,Address,Block,Lot,Energy Star Score,Source EUI,Site EUI,Annual Maximum Demand,Total GHG Emissions
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
MN,4 WEST 16 STREET,,,,,,,
