Borough,Address,Block,Lot,Energy Star Score,Source EUI,Site EUI,Annual Maximum Demand,Total GHG Emissions
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
BK,107 BAY 14 STREET,,,,,,,
